X,Y,Point_ID,Height
513847.195,325673.988,HF_ROW26,2.623
513847.194,325673.988,HF_ROW25,2.631
513847.192,325673.981,HF_ROW24,2.624
513847.191,325673.978,HF_ROW23,2.626
513847.185,325673.974,HF_ROW22,2.633
513847.189,325673.969,HF_ROW21,2.629
513847.189,325673.974,HF_ROW20,2.636
513847.189,325673.97,HF_ROW19,2.642
513847.189,325673.967,HF_ROW18,2.639
513847.186,325673.962,HF_ROW17,2.647
513847.185,325673.961,HF_ROW16,2.644
513847.188,325673.963,HF_ROW15,2.655
513847.186,325673.96,HF_ROW14,2.651
513847.186,325673.959,HF_ROW13,2.651
513847.182,325673.953,HF_ROW12,2.657
513847.183,325673.952,HF_ROW11,2.665
513847.186,325673.953,HF_ROW10,2.67
513847.189,325673.948,HF_ROW9,2.665
513847.186,325673.942,HF_ROW8,2.668
513847.183,325673.94,HF_ROW7,2.672
513847.181,325673.938,HF_ROW6,2.669
513847.188,325673.943,HF_ROW5,2.674
513847.185,325673.939,HF_ROW4,2.675
513847.183,325673.939,HF_ROW3,2.672
513847.179,325673.936,HF_ROW2,2.678
513847.18,325673.936,HF_ROW1,2.674
