X,Y,Point_ID,Height
506254.575,330481.272,LAU_R_503,60.45
506255.577,330481.594,LAU_R_502,60.445
506256.589,330481.856,LAU_R_501,60.44
506257.562,330482.219,LAU_R_500,60.455
506258.617,330482.549,LAU_R_499,60.429
506259.635,330482.875,LAU_R_498,60.421
506260.619,330483.173,LAU_R_497,60.411
506261.462,330483.445,LAU_R_496,60.418
506262.365,330483.707,LAU_R_495,60.392
506263.237,330483.99,LAU_R_494,60.395
506264.038,330484.252,LAU_R_493,60.408
506264.882,330484.499,LAU_R_492,60.365
506265.788,330484.774,LAU_R_491,60.366
506266.62,330485.007,LAU_R_490,60.364
506267.399,330485.26,LAU_R_489,60.35
506268.215,330485.515,LAU_R_488,60.351
506269.047,330485.74,LAU_R_487,60.352
506269.84,330485.997,LAU_R_486,60.326
506270.653,330486.243,LAU_R_485,60.341
506271.255,330486.476,LAU_R_484,60.317
506271.331,330486.492,LAU_R_483,60.319
506271.336,330486.493,LAU_R_482,60.313
506271.336,330486.496,LAU_R_481,60.315
506271.333,330486.494,LAU_R_480,60.314
506271.332,330486.488,LAU_R_479,60.305
506271.32,330486.486,LAU_R_478,60.311
506271.32,330486.48,LAU_R_477,60.321
506271.319,330486.477,LAU_R_476,60.307
506271.424,330486.513,LAU_R_475,60.307
506272.051,330486.69,LAU_R_474,60.312
506272.575,330486.833,LAU_R_473,60.304
506272.829,330486.887,LAU_R_472,60.299
506272.897,330486.902,LAU_R_471,60.285
506272.895,330486.902,LAU_R_470,60.28
506272.896,330486.897,LAU_R_469,60.288
506272.897,330486.894,LAU_R_468,60.29
506272.866,330486.964,LAU_R_467,60.301
506272.781,330487.0,LAU_R_466,60.285
506272.726,330487.352,LAU_R_465,60.315
506272.559,330487.687,LAU_R_464,60.303
506272.29,330487.837,LAU_R_463,60.316
506271.597,330487.581,LAU_R_462,60.285
506270.595,330487.298,LAU_R_461,60.311
506269.566,330486.983,LAU_R_460,60.324
506268.464,330486.635,LAU_R_459,60.335
506267.41,330486.292,LAU_R_458,60.37
506266.254,330485.975,LAU_R_457,60.321
506265.19,330485.634,LAU_R_456,60.361
506264.136,330485.331,LAU_R_455,60.362
506263.054,330484.996,LAU_R_454,60.393
506261.971,330484.632,LAU_R_453,60.391
506260.894,330484.3,LAU_R_452,60.419
506259.814,330483.972,LAU_R_451,60.383
506258.752,330483.623,LAU_R_450,60.406
506257.66,330483.291,LAU_R_449,60.404
506256.572,330482.948,LAU_R_448,60.421
506255.518,330482.645,LAU_R_447,60.401
506254.516,330482.305,LAU_R_446,60.442
506253.568,330481.986,LAU_R_445,60.43
506252.57,330481.697,LAU_R_444,60.45
506251.634,330481.382,LAU_R_443,60.436
506250.724,330481.102,LAU_R_442,60.453
506249.73,330480.761,LAU_R_441,60.449
506248.805,330480.471,LAU_R_440,60.462
506247.865,330480.128,LAU_R_439,60.46
506246.969,330479.835,LAU_R_438,60.47
506246.008,330479.561,LAU_R_437,60.481
506244.947,330479.332,LAU_R_436,60.496
506243.989,330478.988,LAU_R_435,60.516
506243.052,330478.696,LAU_R_434,60.514
506242.116,330478.377,LAU_R_433,60.513
506241.173,330478.038,LAU_R_432,60.532
506240.204,330477.759,LAU_R_431,60.532
506239.291,330477.487,LAU_R_430,60.558
506238.438,330477.151,LAU_R_429,60.561
506237.568,330476.906,LAU_R_428,60.574
506236.732,330476.628,LAU_R_427,60.595
506235.887,330476.336,LAU_R_426,60.618
506235.077,330476.054,LAU_R_425,60.638
506234.214,330475.779,LAU_R_424,60.641
506233.272,330475.483,LAU_R_423,60.655
506232.399,330475.189,LAU_R_422,60.659
506231.536,330474.918,LAU_R_421,60.671
506230.671,330474.653,LAU_R_420,60.707
506229.787,330474.394,LAU_R_419,60.723
506228.921,330474.055,LAU_R_418,60.738
506228.135,330473.808,LAU_R_417,60.746
506227.249,330473.502,LAU_R_416,60.751
506226.366,330473.241,LAU_R_415,60.774
506225.494,330472.889,LAU_R_414,60.793
506224.656,330472.671,LAU_R_413,60.823
506223.85,330472.407,LAU_R_412,60.831
506223.013,330472.115,LAU_R_411,60.861
506222.112,330471.823,LAU_R_410,60.889
506221.268,330471.556,LAU_R_409,60.905
506220.422,330471.284,LAU_R_408,60.938
506219.582,330470.955,LAU_R_407,60.938
506218.745,330470.708,LAU_R_406,60.952
506217.897,330470.35,LAU_R_405,60.958
506217.003,330470.079,LAU_R_404,60.986
506216.091,330469.823,LAU_R_403,60.99
506215.255,330469.489,LAU_R_402,61.003
506214.49,330469.205,LAU_R_401,61.006
506213.686,330468.958,LAU_R_400,61.021
506212.866,330468.626,LAU_R_399,61.025
506212.002,330468.381,LAU_R_398,61.049
506211.116,330468.093,LAU_R_397,61.053
506210.285,330467.784,LAU_R_396,61.061
506209.405,330467.443,LAU_R_395,61.077
506208.635,330467.195,LAU_R_394,61.087
506207.822,330466.898,LAU_R_393,61.075
506207.077,330466.643,LAU_R_392,61.132
506206.252,330466.329,LAU_R_391,61.086
506205.428,330466.108,LAU_R_390,61.117
506204.703,330465.809,LAU_R_389,61.109
506203.891,330465.511,LAU_R_388,61.121
506203.006,330465.249,LAU_R_387,61.159
506202.23,330465.016,LAU_R_386,61.131
506201.706,330464.831,LAU_R_385,61.152
506201.18,330464.637,LAU_R_384,61.147
506200.532,330464.393,LAU_R_383,61.163
506199.781,330464.137,LAU_R_382,61.165
506199.033,330463.903,LAU_R_381,61.162
506198.431,330463.648,LAU_R_380,61.145
506197.733,330463.38,LAU_R_379,61.173
506197.06,330463.172,LAU_R_378,61.174
506196.331,330462.903,LAU_R_377,61.192
506195.55,330462.674,LAU_R_376,61.204
506194.788,330462.419,LAU_R_375,61.238
506194.002,330462.202,LAU_R_374,61.233
506193.175,330461.918,LAU_R_373,61.232
506192.415,330461.627,LAU_R_372,61.253
506191.604,330461.367,LAU_R_371,61.246
506190.849,330461.141,LAU_R_370,61.253
506190.128,330460.907,LAU_R_369,61.265
506189.378,330460.671,LAU_R_368,61.281
506188.717,330460.444,LAU_R_367,61.275
506188.055,330460.209,LAU_R_366,61.287
506187.405,330460.011,LAU_R_365,61.306
506186.812,330459.802,LAU_R_364,61.305
506186.172,330459.62,LAU_R_363,61.291
506185.717,330459.449,LAU_R_362,61.321
506185.286,330459.3,LAU_R_361,61.315
506184.833,330459.148,LAU_R_360,61.326
506184.401,330459.015,LAU_R_359,61.319
506184.022,330458.868,LAU_R_358,61.328
506183.897,330458.844,LAU_R_357,61.336
506183.852,330458.82,LAU_R_356,61.315
506183.803,330458.811,LAU_R_355,61.3
506183.803,330458.807,LAU_R_354,61.301
506183.803,330458.815,LAU_R_353,61.292
506183.812,330458.812,LAU_R_352,61.302
506183.802,330458.813,LAU_R_351,61.298
506183.805,330458.81,LAU_R_350,61.304
506183.815,330458.79,LAU_R_349,61.289
