X,Y,Point_ID,Height
513124.172,325148.557,HF2_RW_T_1572,-0.224
513124.172,325148.557,HF2_RW_T_1571,-0.223
513124.169,325148.561,HF2_RW_T_1570,-0.216
513124.169,325148.563,HF2_RW_T_1569,-0.22
513124.167,325148.563,HF2_RW_T_1568,-0.224
513124.174,325148.562,HF2_RW_T_1567,-0.225
513124.176,325148.563,HF2_RW_T_1566,-0.223
513124.168,325148.56,HF2_RW_T_1565,-0.227
513124.167,325148.561,HF2_RW_T_1564,-0.229
513124.169,325148.559,HF2_RW_T_1563,-0.231
513124.172,325148.559,HF2_RW_T_1562,-0.223
513124.17,325148.558,HF2_RW_T_1561,-0.222
513124.169,325148.559,HF2_RW_T_1560,-0.216
513124.171,325148.558,HF2_RW_T_1559,-0.22
513124.172,325148.561,HF2_RW_T_1558,-0.216
513124.172,325148.56,HF2_RW_T_1557,-0.217
513124.171,325148.559,HF2_RW_T_1556,-0.22
513124.169,325148.561,HF2_RW_T_1555,-0.223
513124.166,325148.561,HF2_RW_T_1554,-0.223
513124.164,325148.564,HF2_RW_T_1553,-0.225
513124.164,325148.563,HF2_RW_T_1552,-0.224
513124.166,325148.562,HF2_RW_T_1551,-0.222
513124.167,325148.563,HF2_RW_T_1550,-0.223
513124.17,325148.559,HF2_RW_T_1549,-0.227
513124.129,325148.563,HF2_RW_T_1548,-0.228
513124.06,325148.573,HF2_RW_T_1547,-0.228
513123.934,325149.173,HF2_RW_T_1546,-0.141
513123.933,325150.278,HF2_RW_T_1545,-0.071
513123.777,325151.231,HF2_RW_T_1544,-0.084
513123.521,325152.374,HF2_RW_T_1543,-0.066
513123.459,325153.445,HF2_RW_T_1542,-0.084
513123.457,325154.483,HF2_RW_T_1541,-0.081
513123.234,325155.571,HF2_RW_T_1540,-0.067
513122.83,325156.593,HF2_RW_T_1539,-0.082
513122.863,325157.846,HF2_RW_T_1538,-0.081
513122.881,325159.036,HF2_RW_T_1537,-0.088
513122.691,325160.245,HF2_RW_T_1536,-0.061
513122.324,325161.389,HF2_RW_T_1535,-0.043
513122.299,325162.491,HF2_RW_T_1534,-0.086
513122.372,325163.684,HF2_RW_T_1533,-0.058
513122.02,325164.63,HF2_RW_T_1532,-0.093
513121.835,325165.911,HF2_RW_T_1531,-0.076
513121.639,325166.963,HF2_RW_T_1530,-0.102
513121.657,325168.136,HF2_RW_T_1529,-0.08
513121.477,325169.075,HF2_RW_T_1528,-0.14
513121.374,325170.39,HF2_RW_T_1527,-0.077
513121.085,325171.424,HF2_RW_T_1526,-0.102
513120.972,325172.659,HF2_RW_T_1525,-0.116
513121.174,325173.694,HF2_RW_T_1524,-0.127
513120.69,325174.801,HF2_RW_T_1523,-0.117
513120.469,325176.075,HF2_RW_T_1522,-0.12
513120.555,325177.084,HF2_RW_T_1521,-0.133
513120.395,325178.221,HF2_RW_T_1520,-0.13
513120.128,325179.247,HF2_RW_T_1519,-0.166
513120.082,325180.486,HF2_RW_T_1518,-0.117
513120.038,325181.351,HF2_RW_T_1517,-0.17
513119.938,325182.59,HF2_RW_T_1516,-0.161
513119.74,325183.724,HF2_RW_T_1515,-0.162
513119.412,325184.947,HF2_RW_T_1514,-0.084
513119.335,325186.104,HF2_RW_T_1513,-0.09
513119.493,325186.945,HF2_RW_T_1512,-0.136
513119.043,325188.047,HF2_RW_T_1511,-0.151
513119.017,325189.13,HF2_RW_T_1510,-0.125
513118.756,325189.915,HF2_RW_T_1509,-0.148
