$Contour
504
-3.349,-86.43,0.192
-3.268,-86.486,0.26
-3.227,-86.534,0.314
-3.222,-86.574,0.36
-3.191,-86.595,0.377
-3.191,-86.612,0.391
-3.191,-86.626,0.407
-3.191,-86.637,0.419
-3.194,-86.645,0.429
-3.194,-86.645,0.429
-3.204,-86.659,0.449
-3.209,-86.664,0.457
-3.214,-86.668,0.464
-3.22,-86.672,0.471
-3.242,-86.678,0.483
-3.247,-86.681,0.489
-3.252,-86.683,0.494
-3.252,-86.683,0.494
-3.252,-86.702,0.494
-3.27,-86.705,0.501
-3.273,-86.707,0.504
-3.276,-86.708,0.508
-3.278,-86.709,0.51
-3.28,-86.71,0.511
-3.282,-86.711,0.513
-3.296,-86.712,0.517
-3.296,-86.712,0.517
-3.297,-86.713,0.518
-3.31,-86.714,0.52
-3.313,-86.714,0.522
-3.313,-86.714,0.522
-3.326,-86.715,0.524
-3.326,-86.715,0.524
-3.328,-86.716,0.525
-3.339,-86.716,0.525
-3.338,-86.716,0.525
-3.34,-86.717,0.527
-3.351,-86.717,0.527
-3.351,-86.717,0.527
-3.352,-86.717,0.527
-3.354,-86.717,0.529
-3.364,-86.718,0.529
-3.364,-86.718,0.529
-3.375,-86.718,0.529
-3.375,-86.718,0.529
-3.375,-86.718,0.529
-3.387,-86.718,0.529
-3.387,-86.718,0.529
-3.387,-86.718,0.529
-3.387,-86.718,0.529
-3.398,-86.718,0.529
-3.663,-86.696,0.522
-3.674,-86.696,0.522
-3.671,-86.696,0.52
-3.682,-86.696,0.52
-3.682,-86.696,0.52
-3.681,-86.696,0.52
-3.693,-86.696,0.52
-3.693,-86.696,0.52
-3.704,-86.696,0.52
-3.703,-86.695,0.518
-3.703,-86.695,0.518
-3.714,-86.695,0.518
-3.714,-86.695,0.518
-3.726,-86.695,0.518
-3.726,-86.695,0.518
-3.726,-86.676,0.518
-3.736,-86.677,0.518
-3.736,-86.677,0.518
-3.748,-86.676,0.518
-3.748,-86.675,0.517
-3.747,-86.676,0.517
-3.757,-86.676,0.517
-3.758,-86.676,0.517
-3.757,-86.676,0.517
-3.769,-86.676,0.517
-3.767,-86.675,0.515
-3.767,-86.675,0.515
-3.779,-86.675,0.515
-3.779,-86.675,0.515
-3.79,-86.675,0.515
-3.79,-86.675,0.515
-3.79,-86.675,0.515
-3.789,-86.675,0.515
-3.79,-86.675,0.515
-3.8,-86.675,0.515
-3.8,-86.675,0.515
-3.8,-86.675,0.515
-3.8,-86.675,0.515
-3.812,-86.675,0.515
-3.812,-86.675,0.515
-3.81,-86.675,0.513
-3.811,-86.674,0.513
-3.821,-86.675,0.513
-3.822,-86.674,0.513
-3.822,-86.674,0.513
-3.823,-86.674,0.513
-3.834,-86.674,0.513
-3.833,-86.674,0.513
-3.833,-86.674,0.513
-3.834,-86.674,0.513
-3.833,-86.674,0.513
-3.845,-86.674,0.513
-3.846,-86.692,0.513
-3.845,-86.693,0.513
-3.844,-86.693,0.512
-3.855,-86.693,0.512
-3.856,-86.693,0.512
-3.856,-86.693,0.512
-3.856,-86.693,0.513
-3.856,-86.693,0.513
-3.868,-86.692,0.513
-3.867,-86.693,0.513
-3.867,-86.693,0.513
-3.867,-86.693,0.513
-3.878,-86.693,0.513
-3.879,-86.693,0.513
-3.879,-86.693,0.513
-3.878,-86.693,0.512
